"locale","en_US","it_IT","ru_RU","pt_BR","zh_CN","pl_PL","fr_FR","es_ES","en_GB","de_DE"
"Disable Cooldowns","Disable Cooldowns","Disabilita tempi di recupero","Отключить Перезарядки","Desabilitar Cooldowns (quando aplicável)","禁用冷却时间","Wyłącz czasy odnowienia","Désactiver les temps de recharge","Desactivar tiempos de reutilización","Disable Cooldowns","Abklingzeiten deaktivieren"
"Disable Minions","Disable Minions","Disabilita minion","Отключить Миньонов","Desabilitar Minions","禁用小兵","Wyłącz miniony","Désactiver les sbires","Desactivar súbditos","Disable Minions","Vasallen deaktivieren"
"Enable Half-Ping Mode","Enable Half-Ping Mode","Abilita modalità Half-Ping","Включить режим полупинга","Habilitar modo ""Meio-Ping""","启用半平模式","Włącz tryb Half-Ping","Activer le mode Demi-Ping","Activar modo Medio-Ping","Enable Half-Ping Mode","Half-Ping-Modus aktivieren"
"Using built-in list of torrent-trackers","Using built-in list of torrent-trackers","Utilizzo della lista integrata dei tracker torrent","Используется вшитый список торрент-трекеров","Utilizar list padrão de rastreadores torrent","使用内置的种子追踪器列表","Używanie wbudowanej listy trackerów torrent","Utilisation de la liste intégrée de trackers torrent","Usando la lista integrada de rastreadores torrent","Using built-in list of torrent-trackers","Integrierte Liste von Torrent-Trackern wird verwendet"
"Downloading","Downloading","Download in corso","Скачивается","Baixando…","正在下载","Pobieranie","Téléchargement","Descargando","Downloading","Herunterladen"
"Downloading torrent-tracker list failed:","Downloading torrent-tracker list failed:","Impossibile scaricare la lista dei tracker torrent:","Не удалось загрузить список торрент-трекеров:","Falha ao baixar lista de rastreadores torrent:","下载种子追踪器列表失败","Pobieranie listy trackerów torrent nie powiodło się:","Échec du téléchargement de la liste de trackers torrent :","Falló la descarga de la lista de rastreadores torrent:","Downloading torrent-tracker list failed:","Herunterladen der Torrent-Tracker-Liste fehlgeschlagen:"
"Unpacking","Unpacking","Decompressione","Распаковывается","Descompactando","正在解压","Rozpakowywanie","Décompression","Descomprimiendo","Unpacking","Entpacken"
"Packing","Packing","Compressione","Упаковывается","Compactando","正在打包","Pakowanie","Compression","Comprimiendo","Packing","Packen"
"Restoring torrent trackers list failed:","Restoring torrent trackers list failed:","Impossibile ripristinare la lista dei tracker torrent:","Не удалось восстановить список торрент-трекеров:","Falha ao restaurar lista de rastreadores torrent","恢复种子追踪器列表失败","Przywracanie listy trackerów torrent nie powiodło się:","Échec de la restauration de la liste de trackers torrent :","Falló la restauración de la lista de rastreadores torrent:","Restoring torrent trackers list failed:","Wiederherstellen der Torrent-Tracker-Liste fehlgeschlagen:"
"Restoring torrent files failed:","Restoring torrent files failed:","Impossibile ripristinare i file torrent:","Не удалось восстановить торрент-файлы:","Falha ao restaurar arquivos torrent","恢复种子文件失败","Przywracanie plików torrent nie powiodło się:","Échec de la restauration des fichiers torrent :","Falló la restauración de los archivos torrent:","Restoring torrent files failed:","Wiederherstellen der Torrent-Dateien fehlgeschlagen:"
"Restoring 7z archiver executable failed:","Restoring 7z archiver executable failed:","Impossibile ripristinare l’eseguibile dell’archiviatore 7z:","Не удалось восстановить исполняемый файл архиватора 7z:","Falha ao restaurar executável 7z","恢复 7z 压缩软件可执行文件失败","Przywracanie pliku wykonywalnego archiwizatora 7z nie powiodło się:","Échec de la restauration de l'exécutable de l'archiveur 7z :","Falló la restauración del ejecutable del archivador 7z:","Restoring 7z archiver executable failed:","Wiederherstellen der 7z-Archivierer-Executable fehlgeschlagen:"
"Restoring Aria2 downloader executable failed:","Restoring Aria2 downloader executable failed:","Impossibile ripristinare l’eseguibile di Aria2:","Не удалось восстановить исполняемый файл скачивателя Aria2:","Falha ao restaurar executável Aria2 Downloader","恢复 Aria2 下载器可执行文件失败","Przywracanie pliku wykonywalnego pobieracza Aria2 nie powiodło się:","Échec de la restauration de l'exécutable du téléchargeur Aria2 :","Falló la restauración del ejecutable del descargador Aria2:","Restoring Aria2 downloader executable failed:","Wiederherstellen der Aria2-Downloader-Executable fehlgeschlagen:"
"Copying","Copying","Copia","Копируется","Copiando","正在复制","Kopiowanie","Copie","Copiando","Copying","Kopieren"
"Moving","Moving","Spostamento","Перемещается","Movendo","正在移动","Przenoszenie","Déplacement","Moviendo","Moving","Verschieben"
"Failed to seed {pkg_zipName}:","Failed to seed {pkg_zipName}:","Impossibile inizializzare {pkg_zipName}:","Не удалось поставить на раздачу {pkg_zipName}:","Falha ao semear {pkg_zipName}:","无法为 {pkg_zipName} 提供种子","Nie udało się seedować {pkg_zipName}:","Échec du seeding de {pkg_zipName} :","Falló el seeding de {pkg_zipName}:","Failed to seed {pkg_zipName}:","Seeding von {pkg_zipName} fehlgeschlagen:"
"Moving required file failed","Moving required file failed","Spostamento del file richiesto non riuscito","Не удалось переместить необходимый файл","Falha ao mover arquivo arquivo necessário","移动必需文件失败","Przenoszenie wymaganego pliku nie powiodło się","Échec du déplacement du fichier requis","Falló el movimiento del archivo requerido","Moving required file failed","Verschieben der erforderlichen Datei fehlgeschlagen"
"Moving optional file failed","Moving optional file failed","Spostamento del file opzionale non riuscito","Не удалось переместить необязательный файл","Falha ao mover arquivo opcional","移动可选文件失败","Przenoszenie opcjonalnego pliku nie powiodło się","Échec du déplacement du fichier optionnel","Falló el movimiento del archivo opcional","Moving optional file failed","Verschieben der optionalen Datei fehlgeschlagen"
"Found temporary unpacker file:","Found temporary unpacker file:","Trovato file temporaneo dell’estrattore:","Найден временный файл распаковщика:","Descompactador temporário encontrado:","发现临时解压文件","Znaleziono tymczasowy plik rozpakowujący:","Fichier de décompression temporaire trouvé :","Se encontró archivo temporal de descompresión:","Found temporary unpacker file:","Temporäre Entpacker-Datei gefunden:"
"Found temporary downloader file:","Found temporary downloader file:","Trovato file temporaneo del downloader:","Найден временный файл скачивателя:","Arquivo downloader temporário encontrado:","发现临时下载器文件","Znaleziono tymczasowy plik pobierający:","Fichier de téléchargement temporaire trouvé :","Se encontró archivo temporal de descarga:","Found temporary downloader file:","Temporäre Downloader-Datei gefunden:"
"Unpacking failed","Unpacking failed","Impossibile decomprimere","Не удалось распаковать","Falha ao descompactar","解压失败","Rozpakowywanie nie powiodło się","Échec de la décompression","Falló la descompresión","Unpacking failed","Entpacken fehlgeschlagen"
"Launcher","Launcher","Launcher","Лаунчер","Launcher","启动器","Launcher","Lanceur","Lanzador","Launcher","Launcher"
"Game Client","Game Client","Client di gioco","Игровой клиент","Cliente do Jogo","游戏客户端","Klient gry","Client de jeu","Cliente del juego","Game Client","Spielclient"
"Game Server","Game Server","Server di gioco","Игровой сервер","Servidor do Jogo","游戏服务器","Serwer gry","Serveur de jeu","Servidor del juego","Game Server","Spielserver"
".NET SDK",".NET SDK",".NET SDK",".NET SDK","SKD .NET",".NET SDK",".NET SDK",".NET SDK",".NET SDK",".NET SDK",".NET SDK"
"Git","Git","Git","Git","Git","Git","Git","Git","Git","Git","Git"
"Additional Maps Modpack","Additional Maps Modpack","Modpack mappe aggiuntive","Пакет с дополнительными картами","Modpack de mapa adicionais","额外地图模组包","Modpakiet z dodatkowymi mapami","Modpack de cartes supplémentaires","Modpack de mapas adicionales","Additional Maps Modpack","Zusätzliche Karten-Modpack"
"Updating","Updating","Aggiornamento in corso","Обновляется","Atualizando","正在更新","Aktualizowanie","Mise à jour","Actualizando","Updating","Aktualisieren"
"Switching the branch to {newBranchName}...","Switching the branch to {newBranchName}...","Cambio del ramo in {newBranchName}...","Переключение ветви на {newBranchName}...","Trocando banch para {newBranchName}…","切换分支至 {newBranchName}...","Przełączanie gałęzi na {newBranchName}...","Changement de branche vers {newBranchName}...","Cambiando la rama a {newBranchName}...","Switching the branch to {newBranchName}...","Wechseln der Branche zu {newBranchName}..."
"The update failed, see the log for details.","The update failed, see the log for details.","L'aggiornamento non è riuscito, vedere log.txt per i dettagli.","Обновление завершилось неудачно, подробности смотрите в журнале.","A atuailzação falhou, cheque os logs para mais detalhes.","更新失败，请查看日志了解详情","Aktualizacja nie powiodła się, zobacz dziennik, aby uzyskać szczegóły.","La mise à jour a échoué, voir le journal pour plus de détails.","La actualización falló, consulte el registro para más detalles.","The update failed, see the log for details.","Das Update ist fehlgeschlagen, siehe Log für Details."
"Time synchronization successful. Offset: {offset}. Precision: {precision}","Time synchronization successful. Offset: {offset}. Precision: {precision}","Sincronizzazione dell’orologio riuscita. Scostamento: {offset}. Precisione: {precision}","Синхронизация времени прошла успешно. Смещение: {offset}. Точность: {precision}","Sincronização de tempo bem sucedida. Offset: {offset}. Precisão: {precision}","时间同步成功偏移量：{offset}精度：{precision}","Synchronizacja czasu powiodła się. Przesunięcie: {offset}. Precyzja: {precision}","Synchronisation de l'heure réussie. Décalage : {offset}. Précision : {precision}","Sincronización de tiempo exitosa. Desplazamiento: {offset}. Precisión: {precision}","Time synchronization successful. Offset: {offset}. Precision: {precision}","Zeitsynchronisierung erfolgreich. Versatz: {offset}. Genauigkeit: {precision}"
"Alistar","Alistar","Alistar","Алистар","Alistar","阿利斯塔","Alistar","Alistar","Alistar","Alistar","Alistar"
"Annie","Annie","Annie","Энни","Annie","安妮","Annie","Annie","Annie","Annie","Annie"
"Ashe","Ashe","Ashe","Эш","Ashe","艾希","Ashe","Ashe","Ashe","Ashe","Ashe"
"Champion","Champion","Campione","Чемпион","Campeões","英雄","Mistrz","Champion","Campeón","Champion","Champion"
"AI Champions","AI Champions","Campioni controllati dall’IA","ИИ-Чемпионы","Bots","AI英雄","Mistrzowie AI","Champions IA","Campeones IA","AI Champions","KI-Champions"
"AI Difficulty","AI Difficulty","Difficoltà dell'IA","Сложность ИИ","Dificuldade da IA","AI难度","Trudność AI","Difficulté IA","Dificultad IA","AI Difficulty","KI-Schwierigkeit"
"Newbie","Newbie","Novellino","Новичок","Iniciante","新手","Nowicjusz","Débutant","Principiante","Newbie","Anfänger"
"Intermediate","Intermediate","Intermedio","Средний","Intermediário","中级","Średniozaawansowany","Intermédiaire","Intermedio","Intermediate","Mittel"
"Advanced","Advanced","Avanzato","Продвинутый","Avançado","高级","Zaawansowany","Avancé","Avanzado","Advanced","Fortgeschritten"
"Skin","Skin","Skin","Скин","Skin","皮肤","Skórka","Skin","Aspecto","Skin","Skin"
"Classic","Classic","Classica","Классический","Clássico","经典","Klasyczny","Classique","Clásico","Classic","Klassisch"
"ARAM","ARAM","ARAM","ARAM","ARAM","ARAM","ARAM","ARAM","ARAM","ARAM","ARAM"
"ODIN","ODIN","ODIN","ODIN","ODIN","ODIN","ODIN","ODIN","ODIN","ODIN","ODIN"
"Tutorial","Tutorial","Tutorial","Обучение","Tutorial","教程","Samouczek","Tutoriel","Tutorial","Tutorial","Tutorial"
"Game Mode","Game Mode","Modalità di gioco","Игровой режим","Modo de Jogo","游戏模式","Tryb gry","Mode de jeu","Modo de juego","Game Mode","Spielmodus"
"{wrapped_name}s Enabled","{wrapped_name}s Enabled","{wrapped_name} Abilitato/i","Включённые {wrapped_name}","{wrapped_name}s Enabled","已启用 {wrapped_name}","Włączono {wrapped_name}","{wrapped_name} activé(s)","{wrapped_name} habilitado(s)","{wrapped_name}s Enabled","{wrapped_name} aktiviert"
"Check {this_name}","Check {this_name}","Controlla {this_name}","Выберите {this_name}","Check {this_name}","勾选 {this_name}","Zaznacz {this_name}","Cocher {this_name}","Marcar {this_name}","Check {this_name}","{this_name} prüfen"
"{this_value_length} of {this_choices_length} checked","{this_value_length} of {this_choices_length} checked","{this_value_length} di {this_choices_length} controllato","{this_value_length} из {this_choices_length} выбрано","{this_value_length} of {this_choices_length} checked","已勾选 {this_value_length} 个（共 {this_choices_length} 个）","Zaznaczono {this_value_length} z {this_choices_length}","{this_value_length} sur {this_choices_length} cochés","{this_value_length} de {this_choices_length} marcados","{this_value_length} of {this_choices_length} checked","{this_value_length} von {this_choices_length} geprüft"
"Select {this_name}","Select {this_name}","Seleziona {this_name}","Выберите {this_name}","Select {this_name}","选择 {this_name}","Wybierz {this_name}","Sélectionner {this_name}","Seleccionar {this_name}","Select {this_name}","{this_name} auswählen"
"Test","Test","Test","Тест","Teste","测试","Test","Test","Prueba","Test","Test"
"Old Summoner's Rift","Old Summoner's Rift","Vecchia Landa dell'Evocatore","Старое Ущелье призывателей","Summoner's Rift Antigo","旧版召唤师峡谷","Stara Szczelina Przywoływacza","Ancienne Faille de l'Invocateur","Grieta del Invocador antigua","Old Summoner's Rift","Alte Kluft der Beschwörer"
"Old Summoner's Rift Autumn","Old Summoner's Rift Autumn","Vecchia Landa dell'Evocatore - Autunno","Старое Ущелье призывателей (Осень)","Summoner's Rift Antigo - Outono","旧版召唤师峡谷·秋季","Stara Szczelina Przywoływacza - Jesień","Ancienne Faille de l'Invocateur - Automne","Grieta del Invocador antigua - Otoño","Old Summoner's Rift Autumn","Alte Kluft der Beschwörer - Herbst"
"Proving Grounds","Proving Grounds","Campi di Prova","Земли испытаний","Proving Grounds","试炼场","Poligon","Terrains d'essai","Terreno de pruebas","Proving Grounds","Bewährungsgründe"
"Unknown (5)","Unknown (5)","Sconosciuto (5)","Название неизвестно (5)","Desconhecido","未知 (5)","Nieznany (5)","Inconnu (5)","Desconocido (5)","Unknown (5)","Unbekannt (5)"
"Summoner's Rift Winter (2011)","Summoner's Rift Winter (2011)","Landa dell'Evocatore – Inverno (2011)","Ущелье призывателей (Зима 2011)","Summoner's Rift - Inverno (2011)","召唤师峡谷 冬季（2011）","Szczelina Przywoływacza - Zima (2011)","Faille de l'Invocateur - Hiver (2011)","Grieta del Invocador - Invierno (2011)","Summoner's Rift Winter (2011)","Kluft der Beschwörer - Winter (2011)"
"Summoner's Rift Winter (2009)","Summoner's Rift Winter (2009)","Landa dell'Evocatore – Inverno (2009)","Ущелье призывателей (Зима 2009)","Summoner's Rift - Inverno (2009)","召唤师峡谷 冬季（2009）","Szczelina Przywoływacza - Zima (2009)","Faille de l'Invocateur - Hiver (2009)","Grieta del Invocador - Invierno (2009)","Summoner's Rift Winter (2009)","Kluft der Beschwörer - Winter (2009)"
"Crystal Scar","Crystal Scar","Landa di Cristallo","Кристальный каньон","Crystal Scar","水晶裂谷","Kryształowa Blizna","Cicatrice de cristal","Cicatriz de cristal","Crystal Scar","Kristallnarbe"
"Dominion Test","Dominion Test","Dominion Test","Доминион (тест)","Dominion Teste","统治测试","Test Dominium","Test Dominion","Prueba de Dominion","Dominion Test","Dominion-Test"
"New Twisted Treeline","New Twisted Treeline","Nuovo Sentiero Tortuoso","Новый Проклятый лес","Twisted Treeline (2012)","新扭曲丛林","Nowa Skręcona Linia Drzew","Nouvelle Ligne tortueuse","Línea retorcida nueva","New Twisted Treeline","Neue Verdrehte Baumlinie"
"New Summoner's Rift","New Summoner's Rift","Nuova Landa dell'Evocatore","Новое Ущелье призывателей","Summoner's Rift (2015)","新召唤师峡谷","Nowa Szczelina Przywoływacza","Nouvelle Faille de l'Invocateur","Grieta del Invocador nueva","New Summoner's Rift","Neue Kluft der Beschwörer"
"Howling Abyss","Howling Abyss","Abisso Urlante","Воющая бездна","Howling Abyss","嚎叫深渊","Wyjący Otchłań","Gouffre hurlant","Abismo de los Lamentos","Howling Abyss","Heulender Abgrund"
"Magma Chamber","Magma Chamber","Camera di Magma","Магматическая камера","Magma Chamber","岩浆之室","Komora Magmy","Chambre de magma","Cámara de magma","Magma Chamber","Magmakammer"
"Butcher's Bridge","Butcher's Bridge","Ponte del Macellaio","Мост мясника","Ponte da Carnificina","屠夫之桥","Most Rzeźnika","Pont du boucher","Puente del carnicero","Butcher's Bridge","Metzgerbrücke"
"Unknown (15)","Unknown (15)","Sconosciuto (15)","Название неизвестно (15)","Desconhecido (15)","未知（15）","Nieznany (15)","Inconnu (15)","Desconocido (15)","Unknown (15)","Unbekannt (15)"
"Cosmic Ruins","Cosmic Ruins","Rovine Cosmiche","Космические руины","Ruínas Cósmicas","宇宙废墟","Kosmiczne Ruiny","Ruines cosmiques","Ruinas cósmicas","Cosmic Ruins","Kosmische Ruinen"
"Unknown (17)","Unknown (17)","Sconociuto (17)","Название неизвестно (17)","Desconhecido (17)","未知 (17)","Nieznany (17)","Inconnu (17)","Desconocido (17)","Unknown (17)","Unbekannt (17)"
"Valoran City Park","Valoran City Park","Parco Cittadino di Valoran","Валоранский городской парк","Parque Municipal de Valoran","瓦洛兰城市公园","Park Miejski Valoran","Parc urbain de Valoran","Parque urbano de Valoran","Valoran City Park","Valoran Stadtpark"
"Substructure 43","Substructure 43","Sottostruttura 43","Субструктура 43","Subestrutura 43","43号地下结构","Podstruktura 43","Sous-structure 43","Subestructura 43","Substructure 43","Unterstruktur 43"
"Crash Site","Crash Site","Sito dell’Incidente","Место крушения","Local de acidente","坠机现场","Miejsce Katastrofy","Lieu du crash","Lugar del accidente","Crash Site","Absturzstelle"
"Temple of Lily and Lotus","Temple of Lily and Lotus","Tempio del Giglio e del Loto","Храм лилий и лотосов","Templo do Lírio e do Lótus","百合与莲花神殿","Świątynia Lilii i Lotosu","Temple du lys et du lotus","Templo del lirio y el loto","Temple of Lily and Lotus","Tempel der Lilie und des Lotus"
"Magma Chamber (recreated in Minecraft)","Magma Chamber (recreated in Minecraft)","Camera di Magma (ricreata in Minecraft)","Магматическая камера (воссоздана в Minecraft)","Magma Chamber (Recriado no Minecraft)","岩浆之室（在《我的世界》中重制）","Komora Magmy (odtworzona w Minecraft)","Chambre de magma (recréée dans Minecraft)","Cámara de magma (recreada en Minecraft)","Magma Chamber (recreated in Minecraft)","Magmakammer (in Minecraft nachgebaut)"
"Arena: Rings of Wrath","Arena: Rings of Wrath","Arena: Anelli dell’Ira","Арена: Кольца Гнева","Arena","竞技场：愤怒之环","Arena: Pierścienie Gniewu","Arène : Anneaux de la colère","Arena: Anillos de ira","Arena: Rings of Wrath","Arena: Ringe des Zorns"
"New Proving Grounds","New Proving Grounds","Nuovi Campi di Prova","Новые Земли испытаний","Novo Proving Grounds","新试炼场","Nowy Poligon","Nouveaux terrains d'essai","Nuevo terreno de pruebas","New Proving Grounds","Neue Bewährungsgründe"
"The Bandlewood","The Bandlewood","La Foresta di Bandle","Бандловое древо","Bandópolis","班德尔森林","Las Bandle","La forêt de Bandle","El bosque de Bandle","The Bandlewood","Der Bandlewald"
"Enter {this_name}","Enter {this_name}","Inserisci {this_name}","Введите {this_name}","Insira {this_name}","输入 {this_name}","Wprowadź {this_name}","Entrez {this_name}","Introduzca {this_name}","Enter {this_name}","Geben Sie {this_name} ein"
"Heal","Heal","Cura","Исцеление","Curar","治疗","Leczenie","Soigner","Curar","Heal","Heilen"
"Ghost","Ghost","Fantasmi","Призрак","Fantasma","幽灵","Duch","Fantôme","Fantasma","Ghost","Geist"
"Barrier","Barrier","Barriera","Барьер","Barreira","屏障","Bariera","Barrière","Barrera","Barrier","Barriere"
"Exhaust","Exhaust","Esaurimento","Изнурение","Exaustão","虚弱","Wyczerpanie","Épuisement","Agotar","Exhaust","Erschöpfung"
"Mark","Mark","Marchio","Метка","Marca","标记","Znak","Marque","Marca","Mark","Markierung"
"Dash","Dash","Scatto","Рывок","Avanço","冲刺","Szarża","Ruée","Embestida","Dash","Sprint"
"Clarity","Clarity","Chiarezza","Ясность","Clareza","明晰","Jasność","Clarté","Claridad","Clarity","Klarheit"
"Flash","Flash","Scatto lampo","Скачок","Flash","闪现","Błysk","Flash","Destello","Flash","Blitz"
"Teleport","Teleport","Teletrasporto","Телепорт","Teleporte","传送","Teleportacja","Téléportation","Teletransporte","Teleport","Teleport"
"Smite","Smite","Colpo di Fato","Кара","Golpear","惩戒","Porażenie","Châtiment","Castigar","Smite","Zerschmettern"
"Cleanse","Cleanse","Purificazione","Очищение","Purificar","净化","Oczyszczenie","Purification","Purificar","Cleanse","Reinigen"
"Ignite","Ignite","Accensione","Воспламенение","Incendiar","点燃","Podpalenie","Embrasement","Prender fuego","Ignite","Entzünden"
"BattleCry","BattleCry","Grido di Battaglia","Боевой клич","Grito de Batalha","战吼","Okrzyk Bojowy","Cri de guerre","Grito de guerra","BattleCry","Kriegsruf"
"Boost","Boost","Potenzia","Улучшение","Clareza","加速","Wzmocnienie","Booster","Impulso","Boost","Boost"
"Clairvoyance","Clairvoyance","Chiaroveggenza","Ясновидение","Clarividência","预知","Jasnowidzenie","Clairvoyance","Clarividencia","Clairvoyance","Hellsehen"
"Dot","Dot","Danno nel tempo","Точка","Incendiar","持续伤害","Obrażenia co sekundę","Dot","Daño periódico","Dot","Dot"
"Fortify","Fortify","Fortificazione","Укрепление","Fortificar","强化","Umocnienie","Fortifier","Fortificar","Fortify","Befestigen"
"Haste","Haste","Frenesia","Спешка","Fantasma","急速","Przyspieszenie","Hâte","Prisa","Haste","Hast"
"Mana","Mana","Mana","Мана","Clareza","法力","Mana","Mana","Maná","Mana","Mana"
"Rally","Rally","Raduno","Ралли","Revigorar","集结","Mobilizacja","Rassemblement","Reunir","Rally","Sammeln"
"Revive","Revive","Rianimazione","Возрождение","Ressucitar","复活","Ożywienie","Réanimation","Reanimar","Revive","Wiederbeleben"
"Promote","Promote","Promuovi","Повышение","Promover","晋升","Awans","Promouvoir","Promover","Promote","Befördern"
"OdinPromote","OdinPromote","Promuovi (Odin)","Повышение (ODIN)","Promover (Dominion)","OdinPromote.","Awans (Odin)","Promouvoir (Odin)","Promover (Odin)","OdinPromote","OdinBefördern"
"OdinSabotage","OdinSabotage","Sabotaggio (Odin)","Саботаж (ODIN)","Sabotar (Dominion)","OdinSabotage.","Sabotaż (Odin)","Sabotage (Odin)","Sabotaje (Odin)","OdinSabotage","OdinSabotage"
"OdinGarrison","OdinGarrison","Guarnigione (Odin)","Гарнизон (ODIN)","Fortificar (Dominion)","OdinGarrison.","Garnizon (Odin)","Garnison (Odin)","Guarnición (Odin)","OdinGarrison","OdinGarnison"
"PromoteSR","PromoteSR","Promuovi (Landa)","Повышение (УП)","Promover (SR)","PromoteSR.","Awans (Szczelina)","Promouvoir (Faille)","Promover (Grieta)","PromoteSR","BefördernSR"
"Observer","Observer","Osservatore","Наблюдение","Observar","Observer.","Obserwator","Observateur","Observador","Observer","Beobachter"
"ReviveSpeedBoost","ReviveSpeedBoost","Rianima e Potenzia Velocità","Ускорение при возраждении","Aceleração do Renascimento","ReviveSpeedBoost.","Ożywienie i Przyspieszenie","Réanimation et Boost de vitesse","Reanimar y acelerar","ReviveSpeedBoost","WiederbelebenGeschwindigkeitsBoost"
"Summoner Spell","Summoner Spell","Incantesimo dell'Evocatore","Заклинание призывателя","Feitiço de Invocador","Summoner Spell.","Zaklęcie Przywoływacza","Sortilège d'invocateur","Hechizo de invocador","Summoner Spell","Beschwörerzauber"
"FISHBONES","FISHBONES","FISHBONES","СКЕЛЕТНИЦА","FISHBONES","FISHBONES.","FISHBONES","FISHBONES","FISHBONES","FISHBONES","FISHBONES"
"Loading...","Loading...","Caricamento...","Загрузка...","Carregando…","加载中...","Ładowanie...","Chargement...","Cargando...","Loading...","Laden..."
"Check and download launcher updates","Check and download launcher updates","Controlla e scarica gli aggiornamenti del launcher","Проверять и скачивать обновления лаунчера","Checar e baixar atualizações do launcher","检查并下载启动器更新","Sprawdź i pobierz aktualizacje launchera","Vérifier et télécharger les mises à jour du lanceur","Comprobar y descargar actualizaciones del lanzador","Check and download launcher updates","Launcher-Updates prüfen und herunterladen"
"Install the additional levels package","Install the additional levels package","Installa il pacchetto di livelli aggiuntivi","Установить пакет с дополнительными уровнями","Instalar pacote adicional de mapas","安装额外关卡包","Zainstaluj pakiet dodatkowych poziomów","Installer le paquet de niveaux supplémentaires","Instalar el paquete de niveles adicionales","Install the additional levels package","Paket mit zusätzlichen Levels installieren"
"Download files from","Download files from","Scarica file da","Скачивать файлы с","Baixar arquivos do","从以下来源下载文件：","Pobierz pliki z","Télécharger les fichiers depuis","Descargar archivos desde","Download files from","Dateien herunterladen von"
"torrent + mega.nz","torrent + mega.nz","torrent + mega.nz","торрентов + mega.nz","torrent + mega.nz","torrent + mega.nz","torrent + mega.nz","torrent + mega.nz","torrent + mega.nz","torrent + mega.nz","Torrent + mega.nz"
"torrent","torrent","torrent","торрентов","torrent","torrent","torrent","torrent","torrent","torrent","Torrent"
"mega.nz","mega.nz","mega.nz","mega.nz","mega.nz","mega.nz","mega.nz","mega.nz","mega.nz","mega.nz","mega.nz"
"Download game server updates from","Download game server updates from","Scarica gli aggiornamenti del server di gioco da","Скачивать обновления игрового сервера от","Baixar atualizações do servidor do jogo de","从以下来源下载游戏服务器更新：","Pobierz aktualizacje serwera gry z","Télécharger les mises à jour du serveur de jeu depuis","Descargar actualizaciones del servidor de juego desde","Download game server updates from","Spielserver-Updates herunterladen von"
"repo","repo","repo","репозитория","Repositorio","存储库","repozytorium","dépôt","repositorio","repo","Repo"
"PLAY","PLAY","GIOCA","ИГРАТЬ","Jogar","播放","GRAJ","JOUER","JUGAR","PLAY","SPIELEN"
"TEST","TEST","TESTA","ТЕСТИРОВАТЬ","Testar","测试","TESTUJ","TESTER","PROBAR","TEST","TESTEN"
"Please wait for the text to appear","Please wait for the text to appear","Si prega di attendere che il testo venga visualizzato","Пожалуйста, дождитесь появления текста","Por favor, aguarde a próxima mensagem aparecer","请等待文字显示","Poczekaj na pojawienie się tekstu","Veuillez attendre que le texte apparaisse","Espere a que aparezca el texto","Please wait for the text to appear","Bitte warten Sie, bis der Text erscheint"
"WARNING","WARNING","ATTENZIONE","ПРЕДУПРЕЖДЕНИЕ","ALERTA","警告","OSTRZEŻENIE","AVERTISSEMENT","ADVERTENCIA","WARNING","WARNUNG"
"Cancel","Cancel","Cancella","Отменить","Cancelar","取消","Anuluj","Annuler","Cancelar","Cancel","Abbrechen"
"Copy","Copy","Copia","Копировать","Copiar","复制","Kopiuj","Copier","Copiar","Copy","Kopieren"
"Paste","Paste","Incolla","Вставить","Colar","粘贴","Wklej","Coller","Pegar","Paste","Einfügen"
"Connect","Connect","Connettiti","Подключиться","Conectar","连接","Połącz","Se connecter","Conectar","Connect","Verbinden"
"Manacosts","Manacosts","Costo mana","Стоимости","Custos de Mana","法力消耗","Koszty many","Coûts de mana","Costes de maná","Manacosts","Manakosten"
"Cooldowns","Cooldowns","Tempo di recupero","Перезарядки","Cooldowns","冷却时间","Czasy odnowienia","Temps de recharge","Tiempos de reutilización","Cooldowns","Abklingzeiten"
"Minions","Minions","Minion","Миньоны","Minions","小兵","Miniony","Sbires","Súbditos","Minions","Vasallen"
"Cheats","Cheats","Trucchi","Читы","Cheats","作弊码","Cheat'y","Triches","Trucos","Cheats","Cheats"
"Game Name","Game Name","Nome della partita","Название игры","Nome do Jogo","游戏名称","Nazwa gry","Nom de la partie","Nombre de la partida","Game Name","Spielname"
"Owner","Owner","Proprietario","Владелец","Líder","所有者","Właściciel","Propriétaire","Propietario","Owner","Besitzer"
"Ping","Ping","Ping","Пинг","Ping","延迟","Ping","Ping","Ping","Ping","Ping"
"Slots","Slots","Slot","Слоты","Slot","席位","Sloty","Emplacements","Ranuras","Slots","Slots"
"Mode","Mode","Modalità","Режим","Modo","模式","Tryb","Mode","Modo","Mode","Modus"
"Map","Map","Mappa","Карта","Mapa","地图","Mapa","Carte","Mapa","Map","Karte"
"CLASSIC","CLASSIC","CLASSICO","КЛАССИЧЕСКИЙ","CLÁSSICO","经典","KLASYCZNY","CLASSIQUE","CLÁSICO","CLASSIC","KLASSISCH"
